Indicator Category,Indicator,Year,Sex,Race/Ethnicity,Value,Place,BCHC Requested Methodology,Source,Methods,Notes,90% Confidence Level - Low,90% Confidence Level - High,95% Confidence Level - Low,95% Confidence Level - High
Behavioral Health/Substance Abuse,"Opioid-Related Unintentional Drug Overdose Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,American Indian/Alaska Native,6.8,"U.S. Total, U.S. Total","Age-Adjusted rate of opioid-related mortality rate using ICD-10-CM codes: X40-X44; AND  one or more of the following in any multiple cause of death: T40.2, T40.3 and T40.4 (Numerator= deaths. Denominator= 2010 census population. Rates per 100,000. Age adjust rates using the 2000 US standard population. Data from 2012, 2013, and 2014 was used",CDC WONDER,,"This indicator is not exclusive of other drugs that may be included in multiple cause of death fields, such as heroin (T40.1), cocaine (T40.5), benzodiazepines (T42.4), psychostimulants with abuse potential (T43.6), other and unspecified narcotics (T40.6), or drugs not elsewhere classified (T50.9). Morphine and heroin are metabolized similarly. This may result in the over-reporting of drug poisonings associated with the effects of opioid analgesics.",,,5.8,7.9
Behavioral Health/Substance Abuse,"Opioid-Related Unintentional Drug Overdose Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Asian/PI,0.0,"Columbus, OH","Age-Adjusted rate of opioid-related mortality rate using ICD-10-CM codes: X40-X44; AND one or more of the following in any multiple cause of death: T40.2, T40.3 and T40.4 (Numerator= deaths. Denominator= 2010 census population). Rates per 100,000, age adjusted using the 2000 US standard population.","Mortality data from Ohio Department of Health, Office of Vital Statistics.  Population files from US Census 2010 Decenial Census.  Analyzed by Columbus Public Health, Office of Epidemiology",,"This indicator is not exclusive of other drugs that may be included in multiple cause of death fields, such as heroin (T40.1), cocaine (T40.5), benzodiazepines (T42.4), psychostimulants with abuse potential (T43.6), other and unspecified narcotics (T40.6), or drugs not elsewhere classified (T50.9). Morphine and heroin are metabolized similarly. This may result in the over-reporting of drug poisonings associated with the effects of opioid analgesics.; Columbus defined based on resident zipcode within (43201,43202,43203,43204,43205,43206,43207,43209,43211,43214,43215,43219,43222,43223,43224,43227,43228,43229,43231,43232,43235).",,,,
Behavioral Health/Substance Abuse,"Opioid-Related Unintentional Drug Overdose Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Asian/PI,0.0,"Denver, CO","Age-adjusted rate of opioid-related mortality rate using ICD-10 codes: X40-X44 AND one or more of the following in any multiple cause of death field: T40.2, T40.3, T40.4. (Numerator = deaths; Denominator = 2010 census population). Compute rates per 100,000 age adjusted using the 2000 US standard population.",Mortality data from the Colorado Department of Public Health and Environment,,"This indicator is not exclusive of other drugs that may be included in multiple cause of death fields, such as heroin (T40.1), cocaine (T40.5), benzodiazepines (T42.4), psychostimulants with abuse potential (T43.6), other and unspecified narcotics (T40.6), or drugs not elsewhere classified (T50.9). Morphine and heroin are metabolized similarly. This may result in the over-reporting of drug poisonings associated with the effects of opioid analgesics.",,,,
Behavioral Health/Substance Abuse,"Opioid-Related Unintentional Drug Overdose Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Asian/PI,0.4,"U.S. Total, U.S. Total","Age-Adjusted rate of opioid-related mortality rate using ICD-10-CM codes: X40-X44; AND  one or more of the following in any multiple cause of death: T40.2, T40.3 and T40.4 (Numerator= deaths. Denominator= 2010 census population. Rates per 100,000. Age adjust rates using the 2000 US standard population. Data from 2012, 2013, and 2014 was used",CDC WONDER,,"This indicator is not exclusive of other drugs that may be included in multiple cause of death fields, such as heroin (T40.1), cocaine (T40.5), benzodiazepines (T42.4), psychostimulants with abuse potential (T43.6), other and unspecified narcotics (T40.6), or drugs not elsewhere classified (T50.9). Morphine and heroin are metabolized similarly. This may result in the over-reporting of drug poisonings associated with the effects of opioid analgesics.",,,0.3,0.5
Behavioral Health/Substance Abuse,"Opioid-Related Unintentional Drug Overdose Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Asian/PI,1.0,"Las Vegas (Clark County), NV","Age-adjusted rate of opioid-related mortality rate using ICD-10 codes: X40-X44 AND one or more of the following in any multiple cause of death field: T40.2, T40.3, T40.4. (Numerator = deaths; Denominator = 2010 census population). Compute rates per 100,000 age adjusted using the 2000 US standard population.",Nevada Vital Records - Clark County Deaths,,"This indicator is not exclusive of other drugs that may be included in multiple cause of death fields, such as heroin (T40.1), cocaine (T40.5), benzodiazepines (T42.4), psychostimulants with abuse potential (T43.6), other and unspecified narcotics (T40.6), or drugs not elsewhere classified (T50.9). Morphine and heroin are metabolized similarly. This may result in the over-reporting of drug poisonings associated with the effects of opioid analgesics.",,,0.0,2.5
Behavioral Health/Substance Abuse,"Opioid-Related Unintentional Drug Overdose Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Asian/PI,,"Fort Worth (Tarrant County), TX","Age-adjusted rate of opioid-related mortality rate using ICD-10 codes: X40-X44 AND one or more of the following in any multiple cause of death field: T40.2, T40.3, T40.4. (Numerator = deaths; Denominator = 2010 census population). Compute rates per 100,000 age adjusted using the 2000 US standard population.",National Center for Health Statistics,,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. The reasons cities have suppressed data vary by indicator. Suppressed here because number is too small for rate calculation; This indicator is not exclusive of other drugs that may be included in multiple cause of death fields, such as heroin (T40.1), cocaine (T40.5), benzodiazepines (T42.4), psychostimulants with abuse potential (T43.6), other and unspecified narcotics (T40.6), or drugs not elsewhere classified (T50.9). Morphine and heroin are metabolized similarly. This may result in the over-reporting of drug poisonings associated with the effects of opioid analgesics.; Value is for all of Tarrant County",,,,
Behavioral Health/Substance Abuse,"Opioid-Related Unintentional Drug Overdose Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Asian/PI,,"Fort Worth (Tarrant County), TX","Age-adjusted rate of opioid-related mortality rate using ICD-10 codes: X40-X44 AND one or more of the following in any multiple cause of death field: T40.2, T40.3, T40.4. (Numerator = deaths; Denominator = 2010 census population). Compute rates per 100,000 age adjusted using the 2000 US standard population.",National Center for Health Statistics,,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. For this indicator, the number is too small for rate calculation.; This indicator is not exclusive of other drugs that may be included in multiple cause of death fields, such as heroin (T40.1), cocaine (T40.5), benzodiazepines (T42.4), psychostimulants with abuse potential (T43.6), other and unspecified narcotics (T40.6), or drugs not elsewhere classified (T50.9). Morphine and heroin are metabolized similarly. This may result in the over-reporting of drug poisonings associated with the effects of opioid analgesics.",,,,
Behavioral Health/Substance Abuse,"Opioid-Related Unintentional Drug Overdose Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Asian/PI,,"San Antonio, TX","Age-adjusted rate of opioid-related mortality rate using ICD-10 codes: X40-X44 AND one or more of the following in any multiple cause of death field: T40.2, T40.3, T40.4. (Numerator = deaths; Denominator = 2010 census population). Compute rates per 100,000 age adjusted using the 2000 US standard population.",CDC Wonder,,"This indicator is not exclusive of other drugs that may be included in multiple cause of death fields, such as heroin (T40.1), cocaine (T40.5), benzodiazepines (T42.4), psychostimulants with abuse potential (T43.6), other and unspecified narcotics (T40.6), or drugs not elsewhere classified (T50.9). Morphine and heroin are metabolized similarly. This may result in the over-reporting of drug poisonings associated with the effects of opioid analgesics.; Bexar County level data",,,,
Behavioral Health/Substance Abuse,"Opioid-Related Unintentional Drug Overdose Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Asian/PI,,"San Diego County, CA","Age-adjusted rate of opioid-related mortality rate using ICD-10 codes: X40-X44 AND one or more of the following in any multiple cause of death field: T40.2, T40.3, T40.4. (Numerator = deaths; Denominator = 2010 census population). Compute rates per 100,000 age adjusted using the 2000 US standard population.","Centers for Disease Control and Prevention, National Center for Health Statistics. Multiple Cause of Death 1999-2016 on CDC WONDER Online Database, released December, 2017. Data are from the Multiple Cause of Death Files, 1999-2016, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at http://wonder.cdc.gov/mcd-icd10.html on Jan 17, 2018 7:06:49 PM","All data was pulled using the CDC WONDER mortality online query system for the specified ICD10 codes.The populations used to calculate standard age-adjusted rates are documented here: More information:""http://wonder.cdc.gov/wonder/help/ucd.html#2000 Standard Population.""The method used to calculate age-adjusted rates is documented here: More information:""http://wonder.cdc.gov/wonder/help/ucd.html#Age-Adjusted Rates."" Non-stated ethnicities were not included in the analysis.","Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. Rates censored where less than 5 cases were presented as data would be statistically unstable. Confirmed cases only. Cases include non-residents and those of unknown residence who received diagnosis while in the county.; This indicator is not exclusive of other drugs that may be included in multiple cause of death fields, such as heroin (T40.1), cocaine (T40.5), benzodiazepines (T42.4), psychostimulants with abuse potential (T43.6), other and unspecified narcotics (T40.6), or drugs not elsewhere classified (T50.9). Morphine and heroin are metabolized similarly. This may result in the over-reporting of drug poisonings associated with the effects of opioid analgesics.",,,,
Behavioral Health/Substance Abuse,"Opioid-Related Unintentional Drug Overdose Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Black,1.8,"U.S. Total, U.S. Total","Age-Adjusted rate of opioid-related mortality rate using ICD-10-CM codes: X40-X44; AND  one or more of the following in any multiple cause of death: T40.2, T40.3 and T40.4 (Numerator= deaths. Denominator= 2010 census population. Rates per 100,000. Age adjust rates using the 2000 US standard population. Data from 2012, 2013, and 2014 was used",CDC WONDER,,"This indicator is not exclusive of other drugs that may be included in multiple cause of death fields, such as heroin (T40.1), cocaine (T40.5), benzodiazepines (T42.4), psychostimulants with abuse potential (T43.6), other and unspecified narcotics (T40.6), or drugs not elsewhere classified (T50.9). Morphine and heroin are metabolized similarly. This may result in the over-reporting of drug poisonings associated with the effects of opioid analgesics.",,,1.7,1.9
Behavioral Health/Substance Abuse,"Opioid-Related Unintentional Drug Overdose Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Black,2.0,"Kansas City, MO","Age-adjusted rate of opioid-related mortality rate using ICD-10 codes: X40-X44 AND one or more of the following in any multiple cause of death field: T40.2, T40.3, T40.4. (Numerator = deaths; Denominator = 2010 census population). Compute rates per 100,000 age adjusted using the 2000 US standard population.",,,"This indicator is not exclusive of other drugs that may be included in multiple cause of death fields, such as heroin (T40.1), cocaine (T40.5), benzodiazepines (T42.4), psychostimulants with abuse potential (T43.6), other and unspecified narcotics (T40.6), or drugs not elsewhere classified (T50.9). Morphine and heroin are metabolized similarly. This may result in the over-reporting of drug poisonings associated with the effects of opioid analgesics.",,,,
Behavioral Health/Substance Abuse,"Opioid-Related Unintentional Drug Overdose Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Black,5.1,"Denver, CO","Age-adjusted rate of opioid-related mortality rate using ICD-10 codes: X40-X44 AND one or more of the following in any multiple cause of death field: T40.2, T40.3, T40.4. (Numerator = deaths; Denominator = 2010 census population). Compute rates per 100,000 age adjusted using the 2000 US standard population.",Mortality data from the Colorado Department of Public Health and Environment,,"This indicator is not exclusive of other drugs that may be included in multiple cause of death fields, such as heroin (T40.1), cocaine (T40.5), benzodiazepines (T42.4), psychostimulants with abuse potential (T43.6), other and unspecified narcotics (T40.6), or drugs not elsewhere classified (T50.9). Morphine and heroin are metabolized similarly. This may result in the over-reporting of drug poisonings associated with the effects of opioid analgesics.",,,,
Behavioral Health/Substance Abuse,"Opioid-Related Unintentional Drug Overdose Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Black,10.3,"Las Vegas (Clark County), NV","Age-adjusted rate of opioid-related mortality rate using ICD-10 codes: X40-X44 AND one or more of the following in any multiple cause of death field: T40.2, T40.3, T40.4. (Numerator = deaths; Denominator = 2010 census population). Compute rates per 100,000 age adjusted using the 2000 US standard population.",Nevada Vital Records - Clark County Deaths,,"This indicator is not exclusive of other drugs that may be included in multiple cause of death fields, such as heroin (T40.1), cocaine (T40.5), benzodiazepines (T42.4), psychostimulants with abuse potential (T43.6), other and unspecified narcotics (T40.6), or drugs not elsewhere classified (T50.9). Morphine and heroin are metabolized similarly. This may result in the over-reporting of drug poisonings associated with the effects of opioid analgesics.",,,5.9,14.7
